"""Preliminär Verifikationslista""",,,,,
Samis Jackets AB,,,,,
559489-5301,,,,,
"""Utskriftsdatum"": den 8 May 2026 11:20:20",,,,,
,,,,,
"""Räkenskapsår:"" 2024-07-01 - 2025-12-31",,,,,
"""Avser perioden"" 2024-07-01 - 2025-12-31",,,,,
,,,,,
"""Verifikation""","""Datum""","""Beskrivning/Konto""","""Typ""","""Debet""","""Kredit"""
,,"2893 Skulder till närstående personer, kortfristig del",,,16.01
,,"2893 Skulder till närstående personer, kortfristig del",,,10.57
,,5910 Annonsering,,157.80,
,,,,,
A 130,2024-11-20,SNAP *snap ads,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,63.65
,,"2893 Skulder till närstående personer, kortfristig del",,,55.46
,,"2893 Skulder till närstående personer, kortfristig del",,,29.84
,,"2893 Skulder till närstående personer, kortfristig del",,,25.91
,,"2893 Skulder till närstående personer, kortfristig del",,,25.21
,,"2893 Skulder till närstående personer, kortfristig del",,,23.09
,,5910 Annonsering,,223.16,
,,,,,
A 131,2024-11-19,SNAP *snap ads,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,63.39
,,"2893 Skulder till närstående personer, kortfristig del",,,57.08
,,"2893 Skulder till närstående personer, kortfristig del",,,43.48
,,"2893 Skulder till närstående personer, kortfristig del",,,29.51
,,"2893 Skulder till närstående personer, kortfristig del",,,27.97
,,"2893 Skulder till närstående personer, kortfristig del",,,23.30
,,"2893 Skulder till närstående personer, kortfristig del",,,17.79
,,5910 Annonsering,,262.52,
,,,,,
A 132,2024-11-17,(google ads5215017274),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,500.00
,,5910 Annonsering,,500.00,
,,,,,
A 133,2024-11-16,apple.com bill,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,18.00
,,6212 Mobiltelefon,,18.00,
,,,,,
A 134,2024-10-29,Aimo Park Sweden,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,29.95
,,"5619 Övriga kostnader för personbilar och mc, m.m.",,29.95,
,,,,,
A 135,2024-10-27,Aimo Park Sweden,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,29.95
,,"5619 Övriga kostnader för personbilar och mc, m.m.",,29.95,
,,,,,
A 136,2024-10-12,Aimo Park Sweden,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,128.95
,,"2893 Skulder till närstående personer, kortfristig del",,,29.95
,,"5619 Övriga kostnader för personbilar och mc, m.m.",,158.90,
,,,,,
A 137,2024-10-09,Aimo Park Sweden,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,29.95
,,"5619 Övriga kostnader för personbilar och mc, m.m.",,29.95,
,,,,,
A 138,2024-10-07,Aimo Park Sweden,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,29.95
,,"2893 Skulder till närstående personer, kortfristig del",,,29.95
,,"2893 Skulder till närstående personer, kortfristig del",,,29.95
,,"5619 Övriga kostnader för personbilar och mc, m.m.",,89.85,
,,,,,
A 139,2024-10-07,sj app,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,214.00
,,5810 Biljetter,,214.00,
,,,,,
A 140,2024-10-03,Aimo Park Sweden,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,84.95
,,"2893 Skulder till närstående personer, kortfristig del",,,69.95
,,"5619 Övriga kostnader för personbilar och mc, m.m.",,154.90,
,,,,,
A 141,2024-10-01,Google GSUITE-samisjack (google workspace),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,10.64
,,5910 Annonsering,,10.64,
,,,,,
A 142,2024-09-18,Shopify * 274917290,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,11.53
,,6590 Övriga externa tjänster,,11.53,
,,,,,
A 143,2024-09-14,Shopify * 273667915,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,169.75
,,6590 Övriga externa tjänster,,169.75,
,,,,,
A 144,2024-09-12,Pegasus hava tasimacilik,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,118.97
,,"2893 Skulder till närstående personer, kortfristig del",,,35.69
,,5890 Övriga resekostnader,,154.66,
,,,,,
A 145,2024-08-27,uber *trip,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,40.06
,,5890 Övriga resekostnader,,40.06,
,,,,,
A 146,2024-08-26,sipay/taksi yonetim,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,440.65
,,5890 Övriga resekostnader,,440.65,
,,,,,
A 147,2024-12-27,apple.com bill,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,39.00
,,6212 Mobiltelefon,,39.00,
,,,,,
A 148,2024-12-27,AI-marknadsfring,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,11.30
,,5911 AI-marknadsforingsverktyg,,11.30,
,,,,,
A 149,2024-11-18,apple.com bill,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,39.00
,,6212 Mobiltelefon,,39.00,
,,,,,
A 150,2024-11-28,(605272 CVS),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,1085.00
,,4001 Inkop av tjanst,,1085.00,
,,,,,
A 151,2024-11-30,apple.com bill,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,249.00
,,6212 Mobiltelefon,,249.00,
,,,,,
A 152,2024-10-24,apple.com bill,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,250.00
,,6212 Mobiltelefon,,250.00,
,,,,,
A 153,2024-10-30,Aimo Park Sweden,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,500.00
,,"2893 Skulder till närstående personer, kortfristig del",,,500.00
,,"5619 Övriga kostnader för personbilar och mc, m.m.",,1000.00,
,,,,,
A 154,2024-10-22,n26 top-up,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,233.10
,,"6991 Övriga externa kostnader, avdragsgilla",,233.10,
,,,,,
A 155,2024-12-27,apple.com bill,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,35.06
,,6212 Mobiltelefon,,35.06,
,,,,,
A 156,2024-11-14,AI-marknadsfring OPENAI,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,112.11
,,5911 AI-marknadsforingsverktyg,,112.11,
,,,,,
A 157,2024-11-29,AI-marknadsfring PictoryAI,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,1274.94
,,"2893 Skulder till närstående personer, kortfristig del",,,1342.05
,,5911 AI-marknadsforingsverktyg,,2616.99,
,,,,,
A 158,2024-10-03,Ryanair Ltd. Dublin,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,192.08
,,5890 Övriga resekostnader,,192.08,
,,,,,
A 159,2024-09-11,Preem Rosersberg,,,
,,"2893 Skulder till närstående personer, kortfristig del",,618.30,
,,"5611 Drivmedel för personbilar, mc, m.m.",,,618.30
,,,,,
A 160,2024-08-25,(EDREAMS 348577891 MADRID),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,1251.06
,,5890 Övriga resekostnader,,1251.06,
,,,,,
A 161,2024-09-06,( mlartg),,,
,,"2893 Skulder till närstående personer, kortfristig del",,,348.00
,,5890 Övriga resekostnader,,348.00,
,,,,,
A 162,2024-10-03,OPODO internet transaktion,,,
,,"2893 Skulder till närstående personer, kortfristig del",,,5967.68
,,5890 Övriga resekostnader,,5967.68,
,,,,,
A 163,2024-12-31,Kapitaliserad ranta Marginalen,,,
,,1930 Företagskonto,,70.74,
,,8311 Ränteintäkter från bank,,,70.74
,,,,,
A 164,2024-12-05,Loan from Director to Company - Cash Flow Support,,,
,,1930 Företagskonto,,120000.00,
,,"2893 Skulder till närstående personer, kortfristig del",,,120000.00
,,,,,
A 165,2024-12-01,BANKKOSTNADER,,,
,,1930 Företagskonto,,,70.00
,,6570 Bankkostnader,,70.00,
,,,,,
A 166,2024-11-29,Betalning till Skatteverket - NOT IN 2025 CSV,,,
,,"2893 Skulder till närstående personer, kortfristig del",,625.00,
,,1930 Företagskonto,,,625.00
,,,,,
A 167,2024-11-01,BANKKOSTNADER,,,
,,1930 Företagskonto,,,70.00
,,6570 Bankkostnader,,70.00,
,,,,,
A 168,2024-10-01,BANKKOSTNADER,,,
,,1930 Företagskonto,,,70.00
,,6570 Bankkostnader,,70.00,
,,,,,
A 169,2024-10-16,Loan from Director to Company - Cash Flow Support,,,
,,1930 Företagskonto,,120000.00,
,,"2893 Skulder till närstående personer, kortfristig del",,,120000.00
,,,,,
A 170,2024-09-08,avgift bankintyg,,,
,,1930 Företagskonto,,,995.00
,,"6991 Övriga externa kostnader, avdragsgilla",,995.00,
,,,,,
A 171,2024-09-17,Loan from Director to Company - Cash Flow Support,,,
,,1930 Företagskonto,,35000.00,
,,"2893 Skulder till närstående personer, kortfristig del",,,35000.00
,,,,,
A 172,2024-10-30,"Korrigering av ver.nr. A21, LF SRMLAND FRSKRINGSPREMIE F: 69006*00 (av Mohammad Sami Alsharef, 2025-06-27)",,,
,,"2893 Skulder till närstående personer, kortfristig del",,3960.00,
,,6310 Företagsförsäkringar,,,3960.00
,,,,,
A 173,2024-11-13,frskring,,,
,,1930 Företagskonto,,,3960.00
,,6310 Företagsförsäkringar,,3960.00,
,,,,,
A 174,2024-11-20,Elmontering till strñckning,,,
,,1930 Företagskonto,,,4507.00
,,2641 Debiterad ingående moms,,901.40,
,,4001 Inkop av tjanst,,3605.60,
,,,,,
A 175,2025-01-01,MÑnadsavgift fretagskonto,,,
,,1930 Företagskonto,,,70.00
,,8311 Ränteintäkter från bank,,70.00,
,,,,,
A 176,2025-01-13,Crona Software AB,,,
,,1930 Företagskonto,,,61.00
,,4001 Inkop av tjanst,,48.80,
,,2641 Debiterad ingående moms,,12.20,
,,,,,
A 177,2025-01-13,Fortnox Finans AB,,,
,,1930 Företagskonto,,,96.00
,,4001 Inkop av tjanst,,76.80,
,,2641 Debiterad ingående moms,,19.20,
,,,,,
A 178,2025-01-14,Fortnox Finans AB,,,
,,1930 Företagskonto,,,96.00
,,4001 Inkop av tjanst,,76.80,
,,2641 Debiterad ingående moms,,19.20,
,,,,,
A 179,2025-03-01,Viva Wallet Card Purchase - TikTok Ads,,,
,,1941 Annat bankkonto viva.com,,,58.00
,,5910 Annonsering,,58.00,
,,,,,
A 180,2025-02-28,Billing Fee - In-Person Default (2025-01-31 - 2025-02-27),,,
,,1941 Annat bankkonto viva.com,,,58.00
,,6570 Bankkostnader,,58.00,
,,,,,
A 181,2025-02-21,Viva Cashback,,,
,,1941 Annat bankkonto viva.com,,5.00,
,,8311 Ränteintäkter från bank,,,5.00
,,,,,
A 182,2025-02-20,Viva Wallet Card Purchase - ARAN FOOD AB,,,
,,1941 Annat bankkonto viva.com,,,1145.00
,,"2893 Skulder till närstående personer, kortfristig del",,1145.00,
,,,,,
A 183,2025-02-19,Billing Fee - Foreign Currency Fee for Transaction Amount 41.72 EUR (2025-02-18),,,
,,1941 Annat bankkonto viva.com,,,14.00
,,6570 Bankkostnader,,14.00,
,,,,,
A 184,2025-02-19,Viva Cashback,,,
,,1941 Annat bankkonto viva.com,,2.00,
,,8311 Ränteintäkter från bank,,,2.00
,,,,,
A 185,2025-02-18,Viva Wallet Card Purchase - CLAS OHLSON,,,
,,1941 Annat bankkonto viva.com,,,69.00
,,2641 Debiterad ingående moms,,14.00,
,,5460 Förbrukningsmaterial,,55.00,
,,,,,
A 186,2025-02-18,Viva Wallet Card Purchase - SHOPIFY* 330742565,,,
,,1941 Annat bankkonto viva.com,,,470.00
,,2641 Debiterad ingående moms,,94.00,
,,5420 Programvaror,,376.00,
,,,,,
A 187,2025-02-18,Viva Cashback,,,
,,1941 Annat bankkonto viva.com,,7.00,
,,8311 Ränteintäkter från bank,,,7.00
,,,,,
A 188,2025-02-17,Viva Wallet Card Purchase - WILLYS ESKILSTUNA C,,,
,,1941 Annat bankkonto viva.com,,,1573.00
,,"2893 Skulder till närstående personer, kortfristig del",,1573.00,
,,,,,
A 189,2025-02-17,Viva Cashback,,,
,,1941 Annat bankkonto viva.com,,4.00,
,,8311 Ränteintäkter från bank,,,4.00
,,,,,
A 190,2025-02-16,Viva Wallet Card Purchase - BILTEMA ESKILSTUNA,,,
,,1941 Annat bankkonto viva.com,,,891.00
,,2641 Debiterad ingående moms,,178.00,
,,5460 Förbrukningsmaterial,,713.00,
,,,,,
A 191,2025-02-16,Viva Cashback,,,
,,1941 Annat bankkonto viva.com,,2.00,
,,8311 Ränteintäkter från bank,,,2.00
,,,,,
A 192,2025-02-15,Viva Wallet Card Purchase - St1 Gillbergaplan,,,
,,1941 Annat bankkonto viva.com,,,640.00
,,2641 Debiterad ingående moms,,128.00,
,,"5611 Drivmedel för personbilar, mc, m.m.",,512.00,
,,,,,
A 193,2025-02-13,Viva Cashback,,,
,,1941 Annat bankkonto viva.com,,1.00,
,,8311 Ränteintäkter från bank,,,1.00
,,,,,
A 194,2025-02-12,Viva Wallet Card Purchase - Freightseeker AB,,,
,,1941 Annat bankkonto viva.com,,,86.00
,,2641 Debiterad ingående moms,,17.00,
,,"6991 Övriga externa kostnader, avdragsgilla",,69.00,
,,,,,
A 195,2025-02-12,Viva Wallet Card Purchase - Freightseeker AB,,,
,,1941 Annat bankkonto viva.com,,,157.00
,,2641 Debiterad ingående moms,,31.00,
,,"6991 Övriga externa kostnader, avdragsgilla",,126.00,
,,,,,
A 196,2025-02-11,Viva Cashback,,,
,,1941 Annat bankkonto viva.com,,5.00,
,,8311 Ränteintäkter från bank,,,5.00
,,,,,
A 197,2025-02-10,Viva Wallet Card Purchase - TikTok Ads,,,
,,1941 Annat bankkonto viva.com,,,728.00
,,5910 Annonsering,,728.00,
,,,,,
A 198,2025-02-10,Viva Wallet Card Purchase - FACEBK *3L4QAGYC72,,,
,,1941 Annat bankkonto viva.com,,,417.00
,,5910 Annonsering,,417.00,
,,,,,
A 199,2025-02-10,Viva Cashback,,,
,,1941 Annat bankkonto viva.com,,11.00,
,,8311 Ränteintäkter från bank,,,11.00
,,,,,
A 200,2025-02-09,Viva Wallet Card Purchase - ARAN FOOD AB,,,
,,1941 Annat bankkonto viva.com,,,2597.00
,,"2893 Skulder till närstående personer, kortfristig del",,2597.00,
,,,,,
A 201,2025-02-09,Viva Cashback,,,
,,1941 Annat bankkonto viva.com,,9.00,
,,8311 Ränteintäkter från bank,,,9.00
,,,,,
A 202,2025-02-09,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,20.00
,,6570 Bankkostnader,,20.00,
,,,,,
A 203,2025-02-08,Viva Wallet Card Purchase - TikTok Ads,,,
,,1941 Annat bankkonto viva.com,,,728.00
,,5910 Annonsering,,728.00,
,,,,,
A 204,2025-02-08,Viva Wallet Card Purchase - Freightseeker AB,,,
,,1941 Annat bankkonto viva.com,,,131.00
,,2641 Debiterad ingående moms,,26.00,
,,"6991 Övriga externa kostnader, avdragsgilla",,105.00,
,,,,,
A 205,2025-02-08,Viva Wallet Card Purchase - WILLYS ESKILSTUNA C,,,
,,1941 Annat bankkonto viva.com,,,1253.00
,,"2893 Skulder till närstående personer, kortfristig del",,1253.00,
,,,,,
A 206,2025-02-07,Viva Cashback,,,
,,1941 Annat bankkonto viva.com,,1.00,
,,8311 Ränteintäkter från bank,,,1.00
,,,,,
A 207,2025-02-07,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,16.00
,,6570 Bankkostnader,,16.00,
,,,,,
A 208,2025-02-06,Viva Wallet Card Refund - CLAS OHLSON,,,
,,1941 Annat bankkonto viva.com,,199.00,
,,2641 Debiterad ingående moms,,,40.00
,,5460 Förbrukningsmaterial,,,159.00
,,,,,
A 209,2025-02-06,Viva Wallet Card Purchase - CLAS OHLSON,,,
,,1941 Annat bankkonto viva.com,,,618.00
,,2641 Debiterad ingående moms,,124.00,
,,5460 Förbrukningsmaterial,,494.00,
,,,,,
A 210,2025-02-05,Viva Wallet Card Purchase - Freightseeker AB,,,
,,1941 Annat bankkonto viva.com,,,90.00
,,2641 Debiterad ingående moms,,18.00,
,,"6991 Övriga externa kostnader, avdragsgilla",,72.00,
,,,,,
A 211,2025-02-05,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,11.00
,,6570 Bankkostnader,,11.00,
,,,,,
A 212,2025-02-04,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,8.00
,,6570 Bankkostnader,,8.00,
,,,,,
A 213,2025-02-04,Viva Wallet Card Purchase - Freightseeker AB,,,
,,1941 Annat bankkonto viva.com,,,86.00
,,2641 Debiterad ingående moms,,17.00,
,,"6991 Övriga externa kostnader, avdragsgilla",,69.00,
,,,,,
A 214,2025-02-04,Viva Wallet Card Purchase - Freightseeker AB,,,
,,1941 Annat bankkonto viva.com,,,98.00
,,2641 Debiterad ingående moms,,20.00,
,,"6991 Övriga externa kostnader, avdragsgilla",,78.00,
,,,,,
A 215,2025-02-04,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,3.00
,,6570 Bankkostnader,,3.00,
,,,,,
A 216,2025-02-03,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,3.00
,,6570 Bankkostnader,,3.00,
,,,,,
A 217,2025-02-03,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,42.00
,,6570 Bankkostnader,,42.00,
,,,,,
A 218,2025-02-03,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,8.00
,,6570 Bankkostnader,,8.00,
,,,,,
A 219,2025-02-02,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,25.00
,,6570 Bankkostnader,,25.00,
,,,,,
A 220,2025-02-01,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,13.00
,,6570 Bankkostnader,,13.00,
,,,,,
A 221,2025-02-01,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,16.00
,,6570 Bankkostnader,,16.00,
,,,,,
A 222,2025-02-01,Viva Cashback,,,
,,1941 Annat bankkonto viva.com,,1.00,
,,8311 Ränteintäkter från bank,,,1.00
,,,,,
A 223,2025-01-31,Billing Fee - Account Default Plan (2024-12-31 - 2025-01-30),,,
,,1941 Annat bankkonto viva.com,,,58.00
,,6570 Bankkostnader,,58.00,
,,,,,
A 224,2025-01-31,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,22.00
,,6570 Bankkostnader,,22.00,
,,,,,
A 225,2025-01-31,Viva Wallet Card Purchase - Temu.com,,,
,,1941 Annat bankkonto viva.com,,,283.00
,,2641 Debiterad ingående moms,,57.00,
,,5460 Förbrukningsmaterial,,226.00,
,,,,,
A 226,2025-01-31,Viva Cashback,,,
,,1941 Annat bankkonto viva.com,,7.00,
,,8311 Ränteintäkter från bank,,,7.00
,,,,,
A 227,2025-01-31,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,7.00
,,6570 Bankkostnader,,7.00,
,,,,,
A 228,2025-01-30,Viva Wallet Card Purchase - Temu.com,,,
,,1941 Annat bankkonto viva.com,,,1750.00
,,2641 Debiterad ingående moms,,350.00,
,,5460 Förbrukningsmaterial,,1400.00,
,,,,,
A 229,2025-01-29,Viva Cashback,,,
,,1941 Annat bankkonto viva.com,,1.00,
,,8311 Ränteintäkter från bank,,,1.00
,,,,,
A 230,2025-01-29,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,45.00
,,6570 Bankkostnader,,45.00,
,,,,,
A 231,2025-01-28,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,17.00
,,6570 Bankkostnader,,17.00,
,,,,,
A 232,2025-01-28,Viva Wallet Card Purchase - CHILIMOBIL.SE,,,
,,1941 Annat bankkonto viva.com,,,624.00
,,2641 Debiterad ingående moms,,125.00,
,,5420 Programvaror,,499.00,
,,,,,
A 233,2025-01-28,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,13.00
,,6570 Bankkostnader,,13.00,
,,,,,
A 234,2025-01-28,Repayment of Director's Loan  bil ,,,
,,1941 Annat bankkonto viva.com,,,12000.00
,,"2893 Skulder till närstående personer, kortfristig del",,12000.00,
,,,,,
A 235,2025-01-28,Money out to IBAN - SE7680000890116948003766 - 1088488604 - Hyra med moms,,,
,,1941 Annat bankkonto viva.com,,,20566.00
,,2641 Debiterad ingående moms,,5141.50,
,,5010 Lokalhyra,,15424.50,
,,,,,
A 236,2025-01-28,Money out to IBAN - SE7680000890116948003766 - 1088975006 - Hyra med moms,,,
,,1941 Annat bankkonto viva.com,,,1896.00
,,2641 Debiterad ingående moms,,474.00,
,,5010 Lokalhyra,,1422.00,
,,,,,
A 237,2025-01-27,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,3.00
,,6570 Bankkostnader,,3.00,
,,,,,
A 238,2025-01-27,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,75.00
,,6570 Bankkostnader,,75.00,
,,,,,
A 239,2025-01-27,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,15.00
,,6570 Bankkostnader,,15.00,
,,,,,
A 240,2025-01-27,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,13.00
,,6570 Bankkostnader,,13.00,
,,,,,
A 241,2025-01-26,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,5.00
,,6570 Bankkostnader,,5.00,
,,,,,
A 242,2025-01-25,Viva Wallet Card Purchase - ARAN FOOD AB,,,
,,1941 Annat bankkonto viva.com,,,1099.00
,,"2893 Skulder till närstående personer, kortfristig del",,1099.00,
,,,,,
A 243,2025-01-25,Viva Wallet Card Purchase - FACEBK *F9GBGG8Q52,,,
,,1941 Annat bankkonto viva.com,,,16.00
,,5910 Annonsering,,16.00,
,,,,,
A 244,2025-01-24,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,69.00
,,6570 Bankkostnader,,69.00,
,,,,,
A 245,2025-01-24,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,30.00
,,6570 Bankkostnader,,30.00,
,,,,,
A 246,2025-01-24,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,42.00
,,6570 Bankkostnader,,42.00,
,,,,,
A 247,2025-01-24,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,12.00
,,6570 Bankkostnader,,12.00,
,,,,,
A 248,2025-01-23,Viva Wallet Card Refund - BOLAGSVERKET,,,
,,1941 Annat bankkonto viva.com,,1400.00,
,,"6991 Övriga externa kostnader, avdragsgilla",,,1400.00
,,,,,
A 249,2025-01-23,Viva Cashback,,,
,,1941 Annat bankkonto viva.com,,3.00,
,,8311 Ränteintäkter från bank,,,3.00
,,,,,
A 250,2025-01-22,Viva Wallet Card Purchase - WILLYS ESKILSTUNA C,,,
,,1941 Annat bankkonto viva.com,,,708.00
,,"2893 Skulder till närstående personer, kortfristig del",,708.00,
,,,,,
A 251,2025-01-21,Viva Wallet Card Purchase - FACEBK *E4QVEFYP52,,,
,,1941 Annat bankkonto viva.com,,,50.00
,,5910 Annonsering,,50.00,
,,,,,
A 252,2025-01-21,Viva Wallet Card Purchase - FACEBK *PBLRLFLQ52,,,
,,1941 Annat bankkonto viva.com,,,50.00
,,5910 Annonsering,,50.00,
,,,,,
A 253,2025-01-21,Viva Wallet Card Purchase - FACEBK *NDBXCG4Q52,,,
,,1941 Annat bankkonto viva.com,,,27.00
,,5910 Annonsering,,27.00,
,,,,,
A 254,2025-01-21,Viva Cashback,,,
,,1941 Annat bankkonto viva.com,,1.00,
,,8311 Ränteintäkter från bank,,,1.00
,,,,,
A 255,2025-01-21,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,16.00
,,6570 Bankkostnader,,16.00,
,,,,,
A 256,2025-01-21,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,25.00
,,6570 Bankkostnader,,25.00,
,,,,,
A 257,2025-01-20,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,11.00
,,6570 Bankkostnader,,11.00,
,,,,,
A 258,2025-01-20,Viva Wallet Card Purchase - FACEBK *4SMPEFYP52,,,
,,1941 Annat bankkonto viva.com,,,50.00
,,5910 Annonsering,,50.00,
,,,,,
A 259,2025-01-20,Viva Wallet Card Purchase - FACEBK *9R5X8G8Q52,,,
,,1941 Annat bankkonto viva.com,,,22.00
,,5910 Annonsering,,22.00,
,,,,,
A 260,2025-01-20,Viva Wallet Card Purchase - FACEBK *73Q8KHUQ52,,,
,,1941 Annat bankkonto viva.com,,,18.00
,,5910 Annonsering,,18.00,
,,,,,
A 261,2025-01-20,Viva Wallet Card Purchase - FACEBK *26JAVGGQ52,,,
,,1941 Annat bankkonto viva.com,,,22.00
,,5910 Annonsering,,22.00,
,,,,,
A 262,2025-01-20,Viva Wallet Card Purchase - FACEBK *Y3Y8EFYP52,,,
,,1941 Annat bankkonto viva.com,,,22.00
,,5910 Annonsering,,22.00,
,,,,,
A 263,2025-01-20,Viva Wallet Card Purchase - FACEBK *XV4LEFYP52,,,
,,1941 Annat bankkonto viva.com,,,15.00
,,5910 Annonsering,,15.00,
,,,,,
A 264,2025-01-20,Viva Wallet Card Purchase - FACEBK *SZTWUGGQ52,,,
,,1941 Annat bankkonto viva.com,,,21.00
,,5910 Annonsering,,21.00,
,,,,,
A 265,2025-01-20,Viva Wallet Card Purchase - FACEBK *GY53QFUP52,,,
,,1941 Annat bankkonto viva.com,,,22.00
,,5910 Annonsering,,22.00,
,,,,,
A 266,2025-01-20,Viva Wallet Card Purchase - FACEBK *F95NHGQQ52,,,
,,1941 Annat bankkonto viva.com,,,22.00
,,5910 Annonsering,,22.00,
,,,,,
A 267,2025-01-20,Viva Wallet Card Purchase - FACEBK *AE7DEFYP52,,,
,,1941 Annat bankkonto viva.com,,,22.00
,,5910 Annonsering,,22.00,
,,,,,
A 268,2025-01-20,Viva Wallet Card Purchase - FACEBK *8RHZBG4Q52,,,
,,1941 Annat bankkonto viva.com,,,33.00
,,5910 Annonsering,,33.00,
,,,,,
A 269,2025-01-20,Viva Wallet Card Purchase - FACEBK *Z2VMEFYP52,,,
,,1941 Annat bankkonto viva.com,,,33.00
,,5910 Annonsering,,33.00,
,,,,,
A 270,2025-01-20,Viva Wallet Card Purchase - FACEBK *ZHKQEFYP52,,,
,,1941 Annat bankkonto viva.com,,,19.00
,,5910 Annonsering,,19.00,
,,,,,
A 271,2025-01-20,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,13.00
,,6570 Bankkostnader,,13.00,
,,,,,
A 272,2025-01-20,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,13.00
,,6570 Bankkostnader,,13.00,
,,,,,
A 273,2025-01-19,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,11.00
,,6570 Bankkostnader,,11.00,
,,,,,
A 274,2025-01-19,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,25.00
,,6570 Bankkostnader,,25.00,
,,,,,
A 275,2025-01-17,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,11.00
,,6570 Bankkostnader,,11.00,
,,,,,
A 276,2025-01-16,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,13.00
,,6570 Bankkostnader,,13.00,
,,,,,
A 277,2025-01-16,Wallet2Wallet Transfer - Samis Jackets - Sent from Viva.com,,,
,,1941 Annat bankkonto viva.com,,1928.00,
,,1940 Övriga bankkonton,,,1928.00
,,,,,
A 278,2025-01-15,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,20.00
,,6570 Bankkostnader,,20.00,
,,,,,
A 279,2025-01-14,Sales Clearance Commission Cards,,,
,,1941 Annat bankkonto viva.com,,,23.00
,,6570 Bankkostnader,,23.00,
,,,,,
