"""Preliminär Huvudbok""",,,,,,,,
Samis Jackets AB,,,,,,,,
559489-5301,,,,,,,,
"""Utskriftsdatum"": den 8 May 2026 11:20:44",,,,,,,,
,,,,,,,,
"""Räkenskapsår:"" 2024-07-01 - 2025-12-31",,,,,,,,
"""Avser perioden"" 2024-07-01 - 2025-12-31",,,,,,,,
,,,,,,,,
,,,,,,,,
"""Konto""","""Verifikation""","""Datum""","""Beskrivning""","""Momskod""","""Moms""","""Debet""","""Kredit""","""Saldo"""
"1220 Inventarier, verktyg och installationer",,,,,,,,
,A 183,2025-02-19,Billing Fee - Foreign Currency Fee for Transaction Amount 41.72 EUR (2025-02-18),,,,"14,00","-104 919,55"
,A 184,2025-02-19,Viva Cashback,,,"2,00",,"-104 917,55"
,A 182,2025-02-20,Viva Wallet Card Purchase - ARAN FOOD AB,,,,"1 145,00","-106 062,55"
,A 181,2025-02-21,Viva Cashback,,,"5,00",,"-106 057,55"
,A 180,2025-02-28,Billing Fee - In-Person Default (2025-01-31 - 2025-02-27),,,,"58,00","-106 115,55"
,A 179,2025-03-01,Viva Wallet Card Purchase - TikTok Ads,,,,"58,00","-106 173,55"
,A 342,2025-03-29,Money out to IBAN - SE6230000000030860059626,,,,"68,00","-106 241,55"
,A 455,2025-06-26,Viva Wallet Card Payments,,,"106 241,00",,"-0,55"
,,,"""Utgående saldo:""",,"0,00","109 925,64","109 926,19","-0,55"
,,,,,,,,
1942 Wise USD,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 409,2024-12-10,"Converted 124,000.00 SEK to 11,241.24 USD",,,"124 000,00",,"124 000,00"
,A 424,2024-12-10,Sent money to FUTURE WORLD TECH,,,,"124 440,54","-440,54"
,A 423,2024-12-11,"Converted 12,800.00 GBP to 16,270.93 USD",,,"177 920,00",,"177 479,46"
,A 421,2024-12-12,Sent money to FUTURE WORLD TECH,,,,"276 750,00","-99 270,54"
,A 422,2024-12-12,"Converted 16,400.00 GBP to 20,888.12 USD",,,"227 960,00",,"128 689,46"
,A 420,2024-12-17,Sent money to FUTURE WORLD TECH,,,,"134 600,68","-5 911,22"
,A 419,2025-01-07,Balance cashback,,,"45,83",,"-5 865,39"
,A 417,2025-01-14,Sent money to FUTURE WORLD TECH,,,,"110 859,71","-116 725,10"
,A 418,2025-01-14,"Converted 8,234.00 GBP to 10,015.78 USD",,,"114 452,60",,"-2 272,50"
,A 416,2025-02-12,Card transaction Clas Ohlson,,,,"61,10","-2 333,60"
,A 365,2025-04-07,"Converted 2,000.00 SEK to 196.96 USD",,,"2 000,00",,"-333,60"
,A 367,2025-04-07,Converted 484.42 SEK to 47.79 USD,,,"484,42",,"150,82"
,A 413,2025-04-07,Sent money to ahmed gheyath al-sharif,,,,"2 180,35","-2 029,53"
,A 414,2025-04-07,Converted 34.20 EUR to 37.28 USD,,,"410,40",,"-1 619,13"
,A 415,2025-04-07,Sent money to ahmed gheyath al-sharif,,,,"941,72","-2 560,85"
,A 344,2025-06-16,"Converted 1,635.80 SEK to 172.13 USD",,,"1 635,80",,"-925,05"
,A 412,2025-06-16,Sent money to ahmed gheyath al-sharif,,,,"1 106,70","-2 031,75"
,A 741,2025-07-01,Google Cloud SEK card purchase - Wise USD,,,,"172,81","-2 204,56"
,A 740,2025-07-15,Shopify EUR card purchase - Wise USD,,,,"398,01","-2 602,57"
,A 742,2025-09-22,SEK to USD conversion - Wise platform,,,"9 602,44",,"6 999,87"
,A 743,2025-09-22,Transfer payment from Wise USD account,,,,"9 426,49","-2 426,62"
,A 787,2025-10-02,Hallon USD 9.40 USD kurs 9.35988,,,,"88,00","-2 514,62"
,A 794,2025-10-10,SEK till USD 2870 SEK kurs 0.105,,,"2 857,14",,"342,52"
,A 795,2025-10-10,Loan repayment USD 320.00 USD,,,,"2 944,00","-2 601,48"
,A 815,2025-11-25,Booking.com USD 0.98 USD,,,,"9,02","-2 610,50"
,A 828,2025-12-08,EUR till USD 465.94 EUR kurs 1.1651,,,"5 355,62",,"2 745,12"
,A 829,2025-12-09,SEK till USD 15546 SEK kurs 0.10707,,,"15 437,54",,"18 182,66"
,A 830,2025-12-11,Beijing mat USD 75.61 USD kurs 7.0621 CNY,,,,"702,23","17 480,43"
,A 831,2025-12-11,Malardalstrafik USD 79.49 USD kurs 9.23423,,,,"735,49","16 744,94"
,A 833,2025-12-12,Circle K drivmedel USD 67.13 USD kurs 9.28897,,,,"624,65","16 120,29"
,A 834,2025-12-12,Fadushka mat USD 2.16 USD kurs 9.27977,,,,"20,07","16 100,22"
,A 838,2025-12-17,Shopify avgift USD 32.95 USD kurs 0.85346,,,,"303,60","15 796,62"
,A 839,2025-12-17,Loan repayment USD 225.96 USD kurs 9.33791,,,,"2 114,00","13 682,62"
,A 840,2025-12-19,One.com USD 13.75 USD kurs 9.31722,,,,"128,48","13 554,14"
,A 841,2025-12-24,Bolagsverket USD 240.06 USD kurs 9.16446,,,,"2 204,70","11 349,44"
,A 842,2025-12-24,PRV registrering USD 294.43 USD kurs 9.17034,,,,"2 705,72","8 643,72"
,A 843,2025-12-25,TikTok Ads USD 179.76 USD kurs 9.17929,,,,"1 653,36","6 990,36"
,A 844,2025-12-25,Loan repayment USD 205.02 USD kurs 9.17442,,,,"1 884,80","5 105,56"
,A 845,2025-12-25,Loan repayment USD 7.49 USD kurs 9.17442,,,,"68,82","5 036,74"
,A 846,2025-12-25,Loan repayment USD 63.11 USD kurs 9.17442,,,,"580,23","4 456,51"
,A 848,2025-12-29,EUR till USD 86.47 EUR kurs 1.1762,,,"994,40",,"5 450,91"
,A 849,2025-12-29,St1 drivmedel USD 96.07 USD kurs 9.17915,,,,"883,49","4 567,42"
,A 850,2025-12-30,TikTok Ads USD 152.94 USD kurs 9.19322,,,,"1 408,98","3 158,44"
,A 851,2025-12-31,TikTok Ads USD 152.46 USD kurs 9.22201,,,,"1 408,54","1 749,90"
,A 1027,2025-12-31,Valutakursjustering USD 1942 - Bokslut,,,,"364,01","1 385,89"
,A 1036,2025-12-31,"Wise avstñmning SEK, USD, GBP, EUR",,,"3 117,52",,"4 503,41"
,,,"""Utgående saldo:""",,"0,00","686 273,71","681 770,30","4 503,41"
,,,,,,,,
1943 Wise GBP,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 423,2024-12-11,"Converted 12,800.00 GBP to 16,270.93 USD",,,,"177 920,00","-177 920,00"
,A 451,2024-12-11,Received money from ahmed gheyath,,,"177 920,00",,"0,00"
,A 422,2024-12-12,"Converted 16,400.00 GBP to 20,888.12 USD",,,,"227 960,00","-227 960,00"
,A 449,2024-12-12,Received money from MOHAMMAD SAMI,,,"133 440,00",,"-94 520,00"
,A 450,2024-12-12,Received money from MOHAMMAD SAMI,,,"94 520,00",,"0,00"
,A 448,2025-01-09,Received money from ahmed gheyath,,,"68 110,00",,"68 110,00"
,A 418,2025-01-14,"Converted 8,234.00 GBP to 10,015.78 USD",,,,"114 452,60","-46 342,60"
,A 446,2025-01-14,Received money from MOHAMMAD SAMI,,,"139,83",,"-46 202,77"
,A 447,2025-01-14,Received money from MOHAMMAD SAMI,,,"50 253,92",,"4 051,15"
,A 445,2025-01-17,Received money from ahmed gheyath,,,"57 101,20",,"61 152,35"
,A 444,2025-01-21,Received money from ahmed gheyath,,,"27 841,70",,"88 994,05"
,A 407,2025-01-27,"Converted 1,000.00 GBP to 13,639.88 SEK",,,,"13 639,88","75 354,17"
,A 443,2025-01-27,Card transaction Back Market,,,,"2 679,64","72 674,53"
,A 442,2025-02-03,Card refund Back Market,,,"2 679,64",,"75 354,17"
,A 441,2025-02-06,Balance cashback,,,"85,90",,"75 440,07"
,A 403,2025-02-11,"Converted 100.00 GBP to 1,345.85 SEK",,,,"1 345,85","74 094,22"
,A 405,2025-02-11,"Converted 3,500.00 GBP to 47,065.87 SEK",,,,"47 065,87","27 028,35"
,A 398,2025-02-12,"Converted 1,801.68 GBP to 24,302.42 SEK",,,,"24 302,42","2 725,93"
,A 440,2025-02-12,Card transaction Clas Ohlson,,,,"96,61","2 629,32"
,A 439,2025-03-05,Balance cashback,,,"41,42",,"2 670,74"
,A 438,2025-03-12,Card transaction Shopify,,,,"41,42","2 629,32"
,A 352,2025-05-13,"Converted 10,492.27 SEK to 811.05 GBP",,,"10 492,27",,"13 121,59"
,A 437,2025-05-13,Sent money to ahmed gheyath al-sharif,,,,"11 273,60","1 847,99"
,A 1036,2025-12-31,"Wise avstñmning SEK, USD, GBP, EUR",,,,"1 847,99","0,00"
,,,"""Utgående saldo:""",,"0,00","622 625,88","622 625,88","0,00"
,,,,,,,,
1944 Wise EUR,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 408,2025-01-04,Converted 100.00 SEK to 8.69 EUR,,,"100,00",,"100,00"
,A 436,2025-01-07,Received money from STRIPE,,,"1 049,04",,"1 149,04"
,A 435,2025-01-10,Received money from STRIPE,,,"1 951,92",,"3 100,96"
,A 434,2025-01-13,Paid to Shopify,,,,"1 043,04","2 057,92"
,A 433,2025-01-24,Received money from STRIPE,,,"637,68",,"2 695,60"
,A 432,2025-02-06,Balance cashback,,,"1,80",,"2 697,40"
,A 431,2025-02-07,Received money from STRIPE,,,"3 915,84",,"6 613,24"
,A 397,2025-02-12,"Converted 551.46 EUR to 6,203.22 SEK",,,,"6 203,22","410,02"
,A 430,2025-03-05,Balance cashback,,,"1,32",,"411,34"
,A 429,2025-03-12,Card transaction Shopify,,,,"1,32","410,02"
,A 428,2025-04-04,Received money from STRIPE,,,"1 716,60",,"2 126,62"
,A 426,2025-04-05,Card transaction Ryanair,,,,"813,84","1 312,78"
,A 427,2025-04-05,Card transaction Pegasus,,,,"492,36","820,42"
,A 414,2025-04-07,Converted 34.20 EUR to 37.28 USD,,,,"410,40","410,02"
,A 345,2025-06-16,"Converted 1,925.67 SEK to 175.00 EUR",,,"1 925,67",,"2 335,69"
,A 425,2025-06-16,Sent money to Mohammad Alsharef,,,,"2 100,00","235,69"
,A 788,2025-10-03,Shopify EUR inbetalning 103.75 EUR,,,"1 193,13",,"1 428,82"
,A 791,2025-10-06,EUR till TRY 124.81 EUR kurs 48.6857,,,,"1 436,55","-7,73"
,A 793,2025-10-10,Shopify EUR inbetalning 86.12 EUR,,,"990,38",,"982,65"
,A 796,2025-10-17,Shopify EUR inbetalning 418.35 EUR,,,"4 811,03",,"5 793,68"
,A 798,2025-10-24,Shopify EUR inbetalning 154.12 EUR,,,"1 772,38",,"7 566,06"
,A 805,2025-11-01,TikTok Ads EUR 23.45 EUR kurs 10.9513,,,,"259,10","7 306,96"
,A 806,2025-11-02,Hallon EUR 11.78 EUR kurs 10.9513,,,,"129,88","7 177,08"
,A 807,2025-11-06,Cashback EUR 0.15 EUR,,,"1,73",,"7 178,81"
,A 808,2025-11-07,Shopify EUR inbetalning 371.75 EUR,,,"4 275,13",,"11 453,94"
,A 809,2025-11-14,Shopify EUR inbetalning 86.37 EUR,,,"993,32",,"12 447,26"
,A 810,2025-11-14,Shipit.se frakt EUR 91.08 EUR kurs 10.9795,,,,"1 004,63","11 442,63"
,A 811,2025-11-19,TikTok Ads EUR 178.32 EUR kurs 11.0027,,,,"1 974,10","9 468,53"
,A 812,2025-11-21,Shopify EUR inbetalning 1398.29 EUR,,,"16 080,33",,"25 548,86"
,A 813,2025-11-23,St1 drivmedel EUR 37.82 EUR kurs 10.999,,,,"415,94","25 132,92"
,A 814,2025-11-25,Booking.com flight EUR 624.99 EUR kurs 1.15685,,,,"7 220,46","17 912,46"
,A 816,2025-11-27,Forex EUR 2.91 EUR kurs 10.9894,,,,"32,13","17 880,33"
,A 817,2025-11-27,Arlanda Walk Through EUR 32.00 EUR kurs 10.9989,,,,"353,55","17 526,78"
,A 818,2025-11-27,Jureskog mat EUR 52.65 EUR kurs 10.9975,,,,"582,18","16 944,60"
,A 819,2025-11-27,Take Away Mart EUR 4.46 EUR kurs 10.9952,,,,"49,28","16 895,32"
,A 820,2025-11-28,Beijing Airport mat EUR 0.98 EUR kurs 8.19996 CNY,,,,"11,00","16 884,32"
,A 821,2025-11-28,Shopify EUR inbetalning 2199.39 EUR,,,"25 292,99",,"42 177,31"
,A 822,2025-11-28,EUR till SEK 3633.31 EUR kurs 10.9945,,,,"40 174,82","2 002,49"
,A 824,2025-12-03,Cashback EUR 0.47 EUR,,,"5,41",,"2 007,90"
,A 826,2025-12-05,Shopify EUR inbetalning 573.75 EUR,,,"6 598,13",,"8 606,03"
,A 827,2025-12-08,Shopify avgift EUR 106.61 EUR,,,,"1 226,58","7 379,45"
,A 828,2025-12-08,EUR till USD 465.94 EUR kurs 1.1651,,,,"5 374,86","2 004,59"
,A 832,2025-12-12,Shopify EUR inbetalning 58.31 EUR,,,"670,55",,"2 675,14"
,A 835,2025-12-14,Shopify abonnemang EUR 36.00 EUR,,,,"414,00","2 261,14"
,A 836,2025-12-15,Shopify avgift EUR 2.88 EUR,,,,"33,12","2 228,02"
,A 837,2025-12-17,Shopify avgift EUR 19.43 EUR,,,,"223,44","2 004,58"
,A 847,2025-12-29,Shopify EUR inbetalning 86.77 EUR,,,"997,85",,"3 002,43"
,A 848,2025-12-29,EUR till USD 86.47 EUR kurs 1.1762,,,,"997,85","2 004,58"
,A 1026,2025-12-31,Valutakursjustering EUR 1944 - Bokslut,,,,"2 017,41","-12,83"
,A 1036,2025-12-31,"Wise avstñmning SEK, USD, GBP, EUR",,,"12,83",,"0,00"
,,,"""Utgående saldo:""",,"0,00","74 995,06","74 995,06","0,00"
,,,,,,,,
1945 Wise SEK,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 343,2024-07-01,Opening balance SEK,,,"561,47",,"561,47"
,A 411,2024-10-25,Bank details order checkout,,,,"520,00","41,47"
,A 410,2024-12-09,Topped up balance,,,"124 000,00",,"124 041,47"
,A 409,2024-12-10,"Converted 124,000.00 SEK to 11,241.24 USD",,,,"124 000,00","41,47"
,A 408,2025-01-04,Converted 100.00 SEK to 8.69 EUR,,,,"100,00","-58,53"
,A 406,2025-01-27,Sent money to Samis Jackets AB,,,,"13 628,42","-13 686,95"
,A 407,2025-01-27,"Converted 1,000.00 GBP to 13,639.88 SEK",,,"13 639,88",,"-47,07"
,A 402,2025-02-11,Card transaction Kontanten,,,,"1 300,00","-1 347,07"
,A 403,2025-02-11,"Converted 100.00 GBP to 1,345.85 SEK",,,"1 345,85",,"-1,22"
,A 404,2025-02-11,Sent money to Samis Jackets AB,,,,"47 054,41","-47 055,63"
,A 405,2025-02-11,"Converted 3,500.00 GBP to 47,065.87 SEK",,,"47 065,87",,"10,24"
,A 397,2025-02-12,"Converted 551.46 EUR to 6,203.22 SEK",,,"6 203,22",,"6 213,46"
,A 398,2025-02-12,"Converted 1,801.68 GBP to 24,302.42 SEK",,,"24 302,42",,"30 515,88"
,A 400,2025-02-12,Repayment of Director's Loan,,,,"30 505,64","10,24"
,A 401,2025-02-12,Card transaction Clas Ohlson,,,,"45,85","-35,61"
,A 399,2025-03-11,Topped up balance,,,"6 499,00",,"6 463,39"
,A 395,2025-03-12,Card transaction Shopify,,,,"472,61","5 990,78"
,A 396,2025-03-12,Card transaction Babylon Livs,,,,"32,00","5 958,78"
,A 391,2025-03-13,Card transaction Shopify,,,,"103,62","5 855,16"
,A 392,2025-03-13,Card transaction Normal,,,,"281,00","5 574,16"
,A 393,2025-03-13,Card transaction Shopify,,,,"515,22","5 058,94"
,A 394,2025-03-13,Card transaction Shopify,,,,"515,07","4 543,87"
,A 390,2025-03-14,Card transaction Normal,,,,"20,00","4 523,87"
,A 387,2025-03-15,Card transaction Ma Livs,,,,"16,98","4 506,89"
,A 388,2025-03-15,Card transaction Ma Livs,,,,"26,96","4 479,93"
,A 389,2025-03-15,Card transaction Lidl,,,,"60,70","4 419,23"
,A 386,2025-03-16,Card transaction OKQ8,,,,"99,00","4 320,23"
,A 380,2025-03-17,Card transaction In & Finn,,,,"12,00","4 308,23"
,A 381,2025-03-17,Card transaction Normal,,,,"8,00","4 300,23"
,A 382,2025-03-17,Card transaction ICA,,,,"166,00","4 134,23"
,A 383,2025-03-17,Card transaction Aran Food,,,,"29,99","4 104,24"
,A 384,2025-03-17,Card transaction Apple,,,,"249,00","3 855,24"
,A 385,2025-03-17,Card transaction Shopify,,,,"1 436,59","2 418,65"
,A 379,2025-03-22,Card transaction Aran Food,,,,"686,75","1 731,90"
,A 378,2025-03-23,Card transaction Ant Ifoto.ai,,,,"100,87","1 631,03"
,A 377,2025-03-24,Card transaction Google Play,,,,"254,47","1 376,56"
,A 376,2025-03-25,Card transaction Apple,,,,"999,00","377,56"
,A 375,2025-03-31,Card transaction Freightseeker,,,,"127,50","250,06"
,A 374,2025-04-01,Topped up balance,,,"2 500,00",,"2 750,06"
,A 372,2025-04-02,Card transaction Freightseeker,,,,"108,75","2 641,31"
,A 373,2025-04-02,Card transaction OpenAI ChatGPT,,,,"198,97","2 442,34"
,A 370,2025-04-04,Card transaction Willys,,,,"838,90","1 603,44"
,A 371,2025-04-04,Card transaction Willys,,,,"1 064,63","538,81"
,A 369,2025-04-06,Card transaction Freightseeker,,,,"90,00","448,81"
,A 365,2025-04-07,"Converted 2,000.00 SEK to 196.96 USD",,,,"2 000,00","-1 551,19"
,A 367,2025-04-07,Converted 484.42 SEK to 47.79 USD,,,,"484,42","-2 035,61"
,A 368,2025-04-07,Topped up balance,,,"2 000,00",,"-35,61"
,A 366,2025-04-10,Topped up balance,,,"5 000,00",,"4 964,39"
,A 364,2025-04-13,Card transaction Willys,,,,"856,23","4 108,16"
,A 358,2025-04-14,Card transaction Dohop,,,,"810,61","3 297,55"
,A 359,2025-04-14,Card refund Dohop,,,"802,37",,"4 099,92"
,A 360,2025-04-14,Card transaction Dohop,,,,"802,37","3 297,55"
,A 361,2025-04-14,Card transaction Willys,,,,"199,90","3 097,65"
,A 362,2025-04-14,Card refund St1,,,"1 160,88",,"4 258,53"
,A 363,2025-04-14,Card transaction St1,,,,"2 000,00","2 258,53"
,A 357,2025-04-16,Card transaction Shopify,,,,"1 425,18","833,35"
,A 356,2025-04-17,Card transaction Norton,,,,"191,00","642,35"
,A 355,2025-04-23,Card transaction Ant Ifoto.ai,,,,"95,69","546,66"
,A 354,2025-04-28,Card transaction Freightseeker,,,,"90,00","456,66"
,A 352,2025-05-13,"Converted 10,492.27 SEK to 811.05 GBP",,,,"10 492,27","-10 035,61"
,A 353,2025-05-13,Topped up balance,,,"10 000,00",,"-35,61"
,A 351,2025-05-19,Topped up balance,,,"1 500,00",,"1 464,39"
,A 350,2025-05-20,Card transaction Shopify,,,,"968,96","495,43"
,A 349,2025-05-27,Card transaction 2co.com imobie,,,,"475,85","19,58"
,A 348,2025-06-09,Topped up balance,,,"1 000,00",,"1 019,58"
,A 347,2025-06-15,Card transaction Shopify,,,,"493,72","525,86"
,A 344,2025-06-16,"Converted 1,635.80 SEK to 172.13 USD",,,,"1 635,80","-1 109,94"
,A 345,2025-06-16,"Converted 1,925.67 SEK to 175.00 EUR",,,,"1 925,67","-3 035,61"
,A 346,2025-06-16,Topped up balance,,,"3 000,00",,"-35,61"
,A 654,2025-08-01,Facebook advertising,,,,"125,00","-160,61"
,A 675,2025-08-27,WISE account transfer,,,"2 500,00",,"2 339,39"
,A 678,2025-08-28,TikTok advertising,,,,"90,00","2 249,39"
,A 679,2025-08-29,TikTok reversal credit,,,"90,00",,"2 339,39"
,A 680,2025-08-29,Facebook advertising,,,,"138,00","2 201,39"
,A 681,2025-08-29,Facebook advertising,,,,"21,09","2 180,30"
,A 682,2025-08-29,Facebook advertising,,,,"152,00","2 028,30"
,A 683,2025-08-29,Facebook advertising,,,,"14,55","2 013,75"
,A 684,2025-08-30,Facebook advertising,,,,"167,00","1 846,75"
,A 685,2025-08-30,Facebook advertising,,,,"49,33","1 797,42"
,A 686,2025-08-31,Facebook advertising,,,,"184,00","1 613,42"
,A 687,2025-08-31,Facebook advertising,,,,"45,23","1 568,19"
,A 691,2025-09-01,TikTok advertising,,,,"267,72","1 300,47"
,A 694,2025-09-02,Facebook ad credit reversal,,,"184,00",,"1 484,47"
,A 697,2025-09-03,Temu business supplies,,,,"281,19","1 203,28"
,A 698,2025-09-03,Facebook advertising,,,,"65,77","1 137,51"
,A 699,2025-09-04,WISE account transfer,,,"5 000,00",,"6 137,51"
,A 701,2025-09-04,Facebook advertising,,,,"202,00","5 935,51"
,A 702,2025-09-04,Facebook advertising,,,,"184,00","5 751,51"
,A 703,2025-09-04,Facebook advertising,,,,"221,00","5 530,51"
,A 704,2025-09-04,Facebook advertising,,,,"18,73","5 511,78"
,A 705,2025-09-04,Facebook advertising,,,,"241,00","5 270,78"
,A 716,2025-09-22,WISE account transfer,,,"12 000,00",,"17 270,78"
,A 742,2025-09-22,SEK to USD conversion - Wise platform,,,,"9 602,44","7 668,34"
,A 786,2025-10-02,Hallon SEK 100.00 SEK,,,,"100,00","7 568,34"
,A 789,2025-10-06,Wise avgift SEK 26.20 SEK,,,,"26,20","7 542,14"
,A 790,2025-10-06,SEK till TRY 12486 SEK kurs 4.43116,,,,"12 486,00","-4 943,86"
,A 855,2025-10-06,Overforing till Wise,,,"10 486,00",,"5 542,14"
,A 978,2025-10-06,Wise Enterprise transfer,,,"2 026,20",,"7 568,34"
,A 860,2025-10-09,Overforing till Wise,,,"4 500,00",,"12 068,34"
,A 794,2025-10-10,SEK till USD 2870 SEK kurs 0.105,,,,"2 870,00","9 198,34"
,A 797,2025-10-17,Temu forpackning SEK 548.87 SEK,,,,"548,87","8 649,47"
,A 799,2025-10-24,One.com SEK 11.25 SEK,,,,"11,25","8 638,22"
,A 800,2025-10-27,Google Play app SEK 176.40 SEK,,,,"176,40","8 461,82"
,A 801,2025-10-27,Google Play app SEK 176.40 SEK,,,,"176,40","8 285,42"
,A 802,2025-10-31,YouTube Premium SEK 10.00 SEK,,,,"10,00","8 275,42"
,A 803,2025-11-01,TikTok Ads SEK 748.05 SEK,,,,"748,05","7 527,37"
,A 804,2025-11-01,Temu refund SEK 30.97 SEK,,,"30,97",,"7 558,34"
,A 822,2025-11-28,EUR till SEK 3633.31 EUR kurs 10.9945,,,"39 946,43",,"47 504,77"
,A 823,2025-11-28,Overforing till Marginalen SEK 39934.97 SEK,,,,"39 934,97","7 569,80"
,A 825,2025-12-04,Future World Tech Kina 31472.19 USD kurs 0.10645,,,,"297 000,00","-289 430,20"
,A 919,2025-12-04,China invoice payment till Wise,,,"297 000,00",,"7 569,80"
,A 829,2025-12-09,SEK till USD 15546 SEK kurs 0.10707,,,,"15 546,00","-7 976,20"
,A 922,2025-12-09,Wise transfer 55250500,,,"15 546,00",,"7 569,80"
,A 1036,2025-12-31,"Wise avstñmning SEK, USD, GBP, EUR",,,,"7 569,80","0,00"
,,,"""Utgående saldo:""",,"0,00","639 890,56","639 890,56","0,00"
,,,,,,,,
1947 Worldline,,,,,,,,
,,,"""Ingående saldo perioden:""",,,,,"0,00"
,A 586,2025-02-13,B02131637331 - Worldline kortbetalning,,,,"29,85","-29,85"
,A 581,2025-02-14,B02141664681 - Worldline kortbetalning,,,,"17,90","-47,75"
,A 578,2025-02-17,B02151692210 - Worldline kortbetalning,,,,"895,50","-943,25"
,A 577,2025-02-24,B02241912572 - Worldline kortbetalning,,,,"1 492,50","-2 435,75"
,A 573,2025-03-10,B03102263589 - Worldline kortbetalning,,,,"447,75","-2 883,50"
,A 572,2025-03-11,B03112280424 - Worldline kortbetalning,,,,"596,99","-3 480,49"
,A 571,2025-03-17,B03152389857 - Worldline kortbetalning,,,,"1 242,74","-4 723,23"
,A 570,2025-03-18,B03182456390 - Worldline kortbetalning,,,,"2 811,85","-7 535,08"
,A 569,2025-03-20,B03202508892 - Worldline kortbetalning,,,,"4 474,49","-12 009,57"
,A 568,2025-03-21,B03212537039 - Worldline kortbetalning,,,,"247,75","-12 257,32"
,A 565,2025-03-24,B03232597052 - Worldline kortbetalning,,,,"1 966,11","-14 223,43"
,A 564,2025-03-26,B03262657151 - Worldline kortbetalning,,,,"99,49","-14 322,92"
,A 560,2025-03-28,B03282715066 - Worldline kortbetalning,,,,"5 368,97","-19 691,89"
,A 556,2025-03-31,B03312794595 - Worldline kortbetalning,,,,"2 194,95","-21 886,84"
,A 557,2025-03-31,B03292744665 - Worldline kortbetalning,,,,"1 415,87","-23 302,71"
,A 559,2025-03-31,B03302773435 - Worldline kortbetalning,,,,"6 521,20","-29 823,91"
,A 554,2025-04-01,B04012811476 - Worldline kortbetalning,,,,"2 410,38","-32 234,29"
,A 553,2025-04-02,B04022838225 - Worldline kortbetalning,,,,"2 269,57","-34 503,86"
,A 552,2025-04-03,B04032867693 - Worldline kortbetalning,,,,"9 772,84","-44 276,70"
,A 550,2025-04-07,B04052926667 - Worldline kortbetalning,,,,"3 713,27","-47 989,97"
,A 551,2025-04-07,B04072977639 - Worldline kortbetalning,,,,"1 069,62","-49 059,59"
,A 548,2025-04-08,B04082995583 - Worldline kortbetalning,,,,"3 466,21","-52 525,80"
,A 547,2025-04-09,B04093019900 - Worldline kortbetalning,,,,"816,47","-53 342,27"
,A 546,2025-04-10,B04103048976 - Worldline kortbetalning,,,,"4 995,88","-58 338,15"
,A 543,2025-04-14,B04133138224 - Worldline kortbetalning,,,,"2 306,99","-60 645,14"
,A 541,2025-04-15,B04153179106 - Worldline kortbetalning,,,,"3 028,76","-63 673,90"
,A 538,2025-04-22,B04183262982 - Worldline kortbetalning,,,,"4 002,17","-67 676,07"
,A 539,2025-04-22,B04193286201 - Worldline kortbetalning,,,,"2 605,29","-70 281,36"
,A 540,2025-04-22,B04203301238 - Worldline kortbetalning,,,,"401,98","-70 683,34"
,A 537,2025-04-23,B04233349233 - Worldline kortbetalning,,,,"4 695,37","-75 378,71"
,A 536,2025-04-24,B04243377627 - Worldline kortbetalning,,,,"3 597,89","-78 976,60"
,A 535,2025-04-25,B04253406484 - Worldline kortbetalning,,,,"3 844,65","-82 821,25"
,A 531,2025-04-28,B04263436358 - Worldline kortbetalning,,,,"2 565,08","-85 386,33"
,A 532,2025-04-28,B04273467432 - Worldline kortbetalning,,,,"1 613,87","-87 000,20"
,A 528,2025-04-29,B04293507506 - Worldline kortbetalning,,,,"5 078,43","-92 078,63"
,A 527,2025-04-30,B04303534914 - Worldline kortbetalning,,,,"5 729,07","-97 807,70"
,A 525,2025-05-02,B05023592847 - Worldline kortbetalning,,,,"729,33","-98 537,03"
,A 526,2025-05-02,B05013562069 - Worldline kortbetalning,,,,"5 770,76","-104 307,79"
,A 521,2025-05-05,B05053663933 - Worldline kortbetalning,,,,"3 009,60","-107 317,39"
,A 519,2025-05-07,B05073707835 - Worldline kortbetalning,,,,"1 963,10","-109 280,49"
,A 518,2025-05-09,B05093766218 - Worldline kortbetalning,,,,"6 013,72","-115 294,21"
,A 515,2025-05-12,B05123850534 - Worldline kortbetalning,,,,"2 702,41","-117 996,62"
,A 516,2025-05-12,B05113826980 - Worldline kortbetalning,,,,"3 077,51","-121 074,13"
,A 517,2025-05-12,B05103798167 - Worldline kortbetalning,,,,"2 723,27","-123 797,40"
,A 514,2025-05-13,B05133868910 - Worldline kortbetalning,,,,"1 893,46","-125 690,86"
,A 513,2025-05-14,B05143893340 - Worldline kortbetalning,,,,"1 773,07","-127 463,93"
,A 509,2025-05-19,B05194034090 - Worldline kortbetalning,,,,"2 443,71","-129 907,64"
,A 510,2025-05-19,B05184011681 - Worldline kortbetalning,,,,"3 537,99","-133 445,63"
,A 511,2025-05-19,B05173983976 - Worldline kortbetalning,,,,"9 459,46","-142 905,09"
,A 507,2025-05-21,B05214076902 - Worldline kortbetalning,,,,"3 238,64","-146 143,73"
